epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4403,0,53.2444,0,0,0,0,0,0,0.00086,0,0.000414871,0.000414871,0.000414871
2,70.4998,0,0.00954,0,0,0,0,0,0,0,0,0.000823305,0.000823305,0.000823305
3,113.957,0,0,0,0,0,0,0,0,0,0,0.00122349,0.00122349,0.00122349
4,152.639,0,0,0,0,0,0,0,0,0,0,0.00121287,0.00121287,0.00121287
5,192.263,0,0,0,0,0,0,0,0,0,0,0.0012005,0.0012005,0.0012005
