epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1420.69,0.33418,0.28666,0.78928,0.9301,0.88278,0.95663,0.93504,0.26978,0.26878,0.79324,0.000742625,0.000742625,0.000742625
43,1455.68,0.3362,0.28567,0.79014,0.91748,0.89001,0.95541,0.93193,0.29536,0.28149,0.78996,0.00073025,0.00073025,0.00073025
44,1489.52,0.332,0.28031,0.78744,0.86719,0.91986,0.95255,0.9306,0.27448,0.28053,0.78967,0.000717875,0.000717875,0.000717875
45,1523.95,0.33874,0.28723,0.78778,0.87693,0.92441,0.95346,0.92572,0.26572,0.28195,0.78856,0.0007055,0.0007055,0.0007055
46,1557.99,0.32315,0.27314,0.78628,0.87019,0.95833,0.95966,0.93378,0.28098,0.27802,0.79092,0.000693125,0.000693125,0.000693125
47,1592.28,0.31853,0.268,0.78639,0.9286,0.86034,0.95781,0.93219,0.27197,0.27999,0.7876,0.00068075,0.00068075,0.00068075
48,1631.5,0.32316,0.27299,0.78672,0.87203,0.95236,0.95323,0.93167,0.27645,0.27313,0.78942,0.000668375,0.000668375,0.000668375
49,1666.28,0.31962,0.26992,0.7868,0.88863,0.93709,0.96209,0.94228,0.26311,0.27114,0.78522,0.000656,0.000656,0.000656
50,1699.58,0.31366,0.26306,0.78472,0.90724,0.90439,0.9583,0.93814,0.27088,0.27333,0.78717,0.000643625,0.000643625,0.000643625
51,1734.64,0.31897,0.26644,0.78442,0.89934,0.9246,0.95335,0.93163,0.26168,0.27964,0.78857,0.00063125,0.00063125,0.00063125
52,1770.7,0.31198,0.25878,0.78638,0.907,0.92902,0.95642,0.93365,0.259,0.26658,0.78772,0.000618875,0.000618875,0.000618875
53,1804.85,0.31746,0.26588,0.78636,0.91495,0.90873,0.95979,0.93797,0.26279,0.27086,0.78877,0.0006065,0.0006065,0.0006065
54,1838.23,0.30991,0.25541,0.78486,0.86807,0.92445,0.94747,0.92519,0.26606,0.2839,0.79059,0.000594125,0.000594125,0.000594125
55,1871.61,0.31352,0.25941,0.78531,0.90505,0.9251,0.95901,0.93201,0.2627,0.27664,0.78922,0.00058175,0.00058175,0.00058175
56,1905.57,0.30705,0.25193,0.78414,0.88417,0.95382,0.95609,0.92897,0.25719,0.27213,0.78933,0.000569375,0.000569375,0.000569375
57,1939.9,0.30766,0.25382,0.7848,0.8947,0.91505,0.95597,0.92803,0.25852,0.28028,0.78857,0.000557,0.000557,0.000557
58,1974.29,0.29864,0.25075,0.78291,0.87427,0.91674,0.95042,0.92829,0.25634,0.26196,0.78852,0.000544625,0.000544625,0.000544625
59,2009.78,0.29709,0.24594,0.78572,0.91156,0.90413,0.96528,0.94311,0.25723,0.27146,0.78799,0.00053225,0.00053225,0.00053225
60,2042.64,0.30346,0.25389,0.7849,0.86001,0.94687,0.95379,0.93386,0.25958,0.26074,0.78658,0.000519875,0.000519875,0.000519875
